2018/10/02/14:03:27.252764;;;433;-2431;16273;-28;18;2;-584;-183;1189;209;239;31;0
2018/10/02/14:03:27.264763;;;353;-2239;16161;-70;-18;56;-584;-183;1189;21;240;31;0
2018/10/02/14:03:27.276769;;;385;-1983;15921;56;136;12;-591;-183;1182;89;240;31;0
2018/10/02/14:03:27.292767;;;433;-2255;15665;90;120;62;-591;-183;1182;157;240;31;0
2018/10/02/14:03:27.305760;;;353;-1727;15553;-100;32;44;-591;-150;1175;225;240;31;0
2018/10/02/14:03:27.317772;;;209;-2063;15425;-28;-18;18;-591;-150;1175;37;241;31;0
2018/10/02/14:03:27.329771;;;225;-2111;15393;10;66;64;-591;-150;1175;105;241;31;0
2018/10/02/14:03:27.346778;;;33;-2175;15745;-2;-12;74;-591;-163;1182;190;241;31;0
2018/10/02/14:03:27.358772;;;-47;-2111;15617;-48;-92;102;-591;-163;1182;2;242;31;0
2018/10/02/14:03:27.370691;;;17;-1935;15553;60;0;-30;-597;-156;1148;69;242;31;0
2018/10/02/14:03:27.383764;;;161;-1903;15457;-16;-126;56;-597;-156;1148;137;242;31;0
2018/10/02/14:03:27.399747;;;241;-1535;15489;122;-36;74;-597;-156;1155;205;242;31;0
2018/10/02/14:03:27.411766;;;225;-1471;15713;6;0;-32;-597;-156;1155;17;243;31;0
2018/10/02/14:03:27.424768;;;289;-1439;15697;6;-60;58;-597;-156;1155;85;243;31;0
2018/10/02/14:03:27.436748;;;433;-1471;15809;48;-160;140;-584;-169;1195;153;243;31;0
2018/10/02/14:03:27.448796;;;385;-1663;16033;78;44;-136;-584;-169;1195;221;243;31;0
2018/10/02/14:03:27.465760;;;689;-1615;16289;-64;-102;-64;-584;-169;1195;33;244;31;0
2018/10/02/14:03:27.477774;;;577;-1823;16177;2;-26;14;-603;-150;1168;101;244;31;0
2018/10/02/14:03:27.489773;;;657;-1951;16369;-100;-70;-92;-603;-150;1168;169;244;31;0
2018/10/02/14:03:27.501777;;;689;-2047;16273;54;60;-20;-623;-150;1189;237;244;31;0
2018/10/02/14:03:27.518775;;;497;-2223;16273;-102;84;56;-623;-150;1189;49;245;31;0
2018/10/02/14:03:27.530773;;;465;-2191;16113;-146;-78;112;-623;-150;1189;117;245;31;0
2018/10/02/14:03:27.542770;;;385;-2319;16081;30;-30;2;-616;-169;1222;185;245;31;0
2018/10/02/14:03:27.555764;;;385;-2543;16049;-6;74;114;-616;-169;1222;14;246;31;0
2018/10/02/14:03:27.571770;;;433;-2159;15889;-18;40;-20;-597;-150;1162;82;246;31;0
2018/10/02/14:03:27.583766;;;385;-2255;15889;-18;68;196;-597;-150;1162;150;246;31;0
2018/10/02/14:03:27.596775;;;369;-2175;15697;-172;-66;56;-629;-163;1222;218;246;31;0
2018/10/02/14:03:27.608775;;;433;-2143;15857;122;114;112;-629;-163;1222;30;247;31;0
2018/10/02/14:03:27.624786;;;225;-2223;15713;44;44;14;-629;-163;1222;98;247;31;0
